tickers;tipo;ID
ALUA;acciones;17388
APBR;acciones;21729
BMA;acciones;444
BYMA;acciones;88356
CEPU;acciones;773
COME;acciones;1016
CVH;acciones;89062
EDN;acciones;34271
FRAN;acciones;1320
GGAL;acciones;3445
MIRG;acciones;1665
PAMP;acciones;1978
SUPV;acciones;83755
TGNO4;acciones;33643
TGSU2;acciones;2681
TRAN;acciones;2747
TS;acciones;20441
TXAR;acciones;1258
VALO;acciones;88875
YPFD;acciones;2846
AGRO;acciones;48
AUSO;acciones;21520
BHIP;acciones;302
CELU;acciones;758
CRES;acciones;1087
CTIO;acciones;37158
DGCU2;acciones;1190
HARG;acciones;1515
LOMA;acciones;89736
METR;acciones;1656
OEST;acciones;1850
A2E2;bonos;88025
AC17;bonos;88647
AO20;bonos;82511
AY24;bonos;79217
DICA;bonos;22586
PARA;bonos;22583
PARY;bonos;22584
PARP;bonos;22582
PR13;bonos;21957
PR15;bonos;66447
TC21;bonos;84196
TC20;bonos;84737
VALE;acciones;38472
TECO2;acciones;2621
PBA25;bonos;92379
AA25;bonos;87918
